ngram,count,rate_per_10000
far away,65,10.39268355078025
mr frodo,42,6.71527244819647
frodo sam,37,5.915835251982604
old man,35,5.596060373497059
minas tirith,31,4.956510616525966
don't know,29,4.63673573804042
long ago,29,4.63673573804042
merry pippin,25,3.997185981069327
emyn muil,21,3.357636224098235
lord mark,21,3.357636224098235
long way,19,3.0378613456126886
yes yes,19,3.0378613456126886
don't think,18,2.8779739063699155
helm's deep,18,2.8779739063699155
dark lord,16,2.5581990278843696
great river,16,2.5581990278843696
looked like,16,2.5581990278843696
nice master,14,2.2384241493988233
shall come,14,2.2384241493988233
turned away,14,2.2384241493988233
