ngram,count,rate_per_10000
mr frodo,163,8.495999583018426
far away,153,7.974772614735087
minas tirith,116,6.046232832086732
long ago,105,5.472883166975059
frodo sam,92,4.7952881082067185
don't know,88,4.586797320893383
bag end,84,4.378306533580047
merry pippin,64,3.3358525970133694
old man,64,3.3358525970133694
sam frodo,58,3.023116416043366
dark lord,50,2.606134841416695
asked frodo,48,2.501889447760027
great river,47,2.449766750931693
don't think,44,2.2933986604466914
frodo looked,42,2.1891532667900235
black riders,40,2.084907873133356
frodo felt,38,1.9806624794766883
answered gandalf,37,1.9285397826483541
mr butterbur,37,1.9285397826483541
legolas gimli,35,1.8242943889916865
