ngram,count,rate_per_10000
mr frodo sam,23,1.1988282756679558
aragorn son arathorn,19,0.9903364016387461
come mr frodo,11,0.5733526535803267
frodo son drogo,10,0.5212296850730243
drew deep breath,9,0.4691067165657219
gimli glóin's son,8,0.4169837480584194
old mr bilbo,8,0.4169837480584194
don't know frodo,7,0.364860779551117
men minas tirith,7,0.364860779551117
théoden son thengel,7,0.364860779551117
gimli son gloin,6,0.31273781104381454
master cried sam,6,0.31273781104381454
right mr frodo,6,0.31273781104381454
wake mr frodo,6,0.31273781104381454
come minas tirith,5,0.2606148425365121
gimli son glóin,5,0.2606148425365121
peregrin son paladin,5,0.2606148425365121
poor old bill,5,0.2606148425365121
praise great praise,5,0.2606148425365121
prince dol amroth,5,0.2606148425365121
